epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.18341,1.77066,2.58658,1.43093,0.83137,0.08966,0.34094,0.19075,1.57454,2.54478,1.21973,0.00058,0.00058,0.00058
2,12.9107,1.6501,1.64945,1.34444,0.57201,0.26667,0.31801,0.14825,1.86195,2.25272,1.50801,0.00117533,0.00117533,0.00117533
3,16.5815,1.65255,1.58544,1.37762,0.42425,0.32424,0.2416,0.11536,1.79669,2.09252,1.59733,0.0017659,0.0017659,0.0017659
4,20.1477,1.6536,1.57341,1.35134,0.49557,0.35455,0.34595,0.16475,1.76842,2.00822,1.56524,0.00197624,0.00197624,0.00197624
5,23.9792,1.63675,1.47513,1.32868,0.10695,0.23335,0.06093,0.02846,1.85777,6.00017,1.57904,0.00196832,0.00196832,0.00196832
6,27.641,1.64895,1.48753,1.34639,0.47527,0.38182,0.39495,0.19437,1.76503,1.7923,1.57995,0.0019604,0.0019604,0.0019604
7,31.3287,1.59784,1.47008,1.3507,0.631,0.45758,0.50626,0.24963,1.76627,1.57313,1.47873,0.00195248,0.00195248,0.00195248
8,34.9873,1.53218,1.32455,1.28451,0.59271,0.45758,0.49747,0.26709,1.53761,1.67825,1.34686,0.00194456,0.00194456,0.00194456
9,38.6171,1.52931,1.31822,1.29249,0.58271,0.51818,0.50783,0.24822,1.68605,1.90814,1.43161,0.00193664,0.00193664,0.00193664
10,42.2312,1.51973,1.33839,1.27849,0.62478,0.5,0.53871,0.27762,1.60128,1.49744,1.4518,0.00192872,0.00192872,0.00192872
11,45.8809,1.51485,1.27139,1.3159,0.66179,0.48623,0.57154,0.29912,1.53052,1.48767,1.33063,0.0019208,0.0019208,0.0019208
12,49.5175,1.5025,1.24708,1.271,0.65401,0.49262,0.55743,0.30166,1.62793,1.39295,1.32239,0.00191288,0.00191288,0.00191288
13,53.207,1.48109,1.2768,1.25036,0.60047,0.55152,0.57738,0.30599,1.5439,1.43639,1.3467,0.00190496,0.00190496,0.00190496
14,56.9851,1.46601,1.2686,1.24976,0.677,0.56667,0.62728,0.34108,1.50851,1.31791,1.33358,0.00189704,0.00189704,0.00189704
15,60.6441,1.50551,1.26213,1.27548,0.60163,0.56667,0.59701,0.31437,1.56111,1.50844,1.3387,0.00188912,0.00188912,0.00188912
16,64.3062,1.48159,1.19588,1.23254,0.70111,0.56154,0.64308,0.35503,1.51471,1.32016,1.31145,0.0018812,0.0018812,0.0018812
17,67.9307,1.42287,1.16284,1.23859,0.70739,0.52424,0.59522,0.33177,1.54698,1.27789,1.31051,0.00187328,0.00187328,0.00187328
18,71.5376,1.42083,1.14125,1.22948,0.73988,0.56061,0.64323,0.35459,1.5235,1.18431,1.30594,0.00186536,0.00186536,0.00186536
19,75.2603,1.42503,1.16797,1.23488,0.65811,0.55758,0.60983,0.34192,1.54444,1.30667,1.34065,0.00185744,0.00185744,0.00185744
20,78.8895,1.44911,1.16262,1.24435,0.78133,0.55152,0.66733,0.37097,1.46623,1.16058,1.28371,0.00184952,0.00184952,0.00184952
21,82.4701,1.40066,1.12638,1.21137,0.72597,0.59091,0.66973,0.36844,1.48351,1.17472,1.28095,0.0018416,0.0018416,0.0018416
22,86.1193,1.44859,1.16782,1.23274,0.72903,0.57884,0.62337,0.34989,1.5705,1.22268,1.34291,0.00183368,0.00183368,0.00183368
23,89.8942,1.43097,1.11217,1.24472,0.78996,0.51818,0.6216,0.34848,1.55179,1.2089,1.33019,0.00182576,0.00182576,0.00182576
24,93.5758,1.43536,1.13302,1.23175,0.70001,0.53636,0.60801,0.33254,1.53964,1.21296,1.33637,0.00181784,0.00181784,0.00181784
25,97.2349,1.38977,1.10766,1.22363,0.74993,0.57251,0.64377,0.34881,1.48979,1.23798,1.31366,0.00180992,0.00180992,0.00180992
26,100.825,1.4247,1.09998,1.21768,0.69848,0.51818,0.58004,0.32326,1.5482,1.3079,1.35173,0.001802,0.001802,0.001802
27,104.365,1.38811,1.07337,1.21992,0.72762,0.61522,0.66078,0.37382,1.50595,1.16001,1.30833,0.00179408,0.00179408,0.00179408
28,107.955,1.37553,1.04685,1.19138,0.78466,0.55209,0.66877,0.36644,1.48363,1.15254,1.30871,0.00178616,0.00178616,0.00178616
29,111.537,1.36589,1.08021,1.21854,0.68933,0.53939,0.61077,0.32445,1.54098,1.2345,1.34864,0.00177824,0.00177824,0.00177824
30,115.079,1.38303,1.07626,1.21689,0.76921,0.53333,0.64722,0.3532,1.5829,1.21062,1.32394,0.00177032,0.00177032,0.00177032
31,118.654,1.38971,1.05048,1.19391,0.72681,0.55152,0.62497,0.34071,1.56082,1.44484,1.30895,0.0017624,0.0017624,0.0017624
32,122.456,1.33233,1.0374,1.17343,0.70792,0.5697,0.64998,0.35227,1.52706,1.16329,1.32058,0.00175448,0.00175448,0.00175448
33,126.084,1.37853,1.03883,1.20729,0.78244,0.59091,0.69723,0.39778,1.45214,1.20537,1.28221,0.00174656,0.00174656,0.00174656
34,129.719,1.32189,1.01942,1.18749,0.72376,0.52424,0.62332,0.33271,1.5832,1.25355,1.37168,0.00173864,0.00173864,0.00173864
35,133.337,1.38681,1.05219,1.21048,0.68842,0.56667,0.628,0.32995,1.61659,1.15132,1.38354,0.00173072,0.00173072,0.00173072
36,136.963,1.31406,1.01715,1.16231,0.73739,0.6,0.66488,0.37196,1.46695,1.12778,1.26282,0.0017228,0.0017228,0.0017228
